action,date,ticker,entry_price,position_size,cash_before_entry,cash_after_entry,slippage_bps,commission,net_return,exit_date,running_equity,cash_before_exit,cash_after_exit
EXIT,2025-10-06,ORCL,,1117.1962287583387,,,,1.0,-0.054000000000000006,2025-10-05,14939.118268714119,7908.42088032402,8964.288512729408
ENTRY,2025-10-06,Z,-0.05,1792.8577025458817,8964.288512729408,7170.430810183527,15.0,1.0,-0.054000000000000006,2025-10-09,10342.641573996214,,
ENTRY,2025-10-06,NTRA,0.15,1434.0861620367052,7170.430810183527,5735.344648146822,15.0,1.0,0.146,2025-10-16,10341.641573996214,,
ENTRY,2025-10-06,OKTA,-0.05,1147.0689296293642,5735.344648146822,4587.275718517458,15.0,1.0,-0.054000000000000006,2025-10-10,10340.641573996214,,
ENTRY,2025-10-06,ESTC,-0.05,917.4551437034916,4587.275718517458,3668.8205748139662,15.0,1.0,-0.054000000000000006,2025-10-07,10339.641573996214,,
EXIT,2025-10-07,ESTC,,917.4551437034916,,,,1.0,-0.054000000000000006,2025-10-07,11206.554139939715,3668.8205748139662,4535.733140757469
ENTRY,2025-10-07,FSLY,-0.05,907.1466281514938,4535.733140757469,3627.5865126059753,15.0,1.0,-0.054000000000000006,2025-10-15,10288.098996236226,,
EXIT,2025-10-09,Z,,1792.8577025458817,,,,1.0,-0.054000000000000006,2025-10-09,11983.142382844628,3627.5865126059753,5322.629899214379
ENTRY,2025-10-09,TWLO,-0.05,1064.5259798428758,5322.629899214379,4257.103919371503,15.0,1.0,-0.054000000000000006,2025-10-10,10189.284680298748,,
EXIT,2025-10-10,OKTA,,1147.0689296293642,,,,1.0,-0.054000000000000006,2025-10-10,11273.411887728125,4257.103919371503,5341.231126800882
EXIT,2025-10-10,TWLO,,1064.5259798428758,,,,1.0,-0.054000000000000006,2025-10-10,12279.453464659486,5341.231126800882,6347.272703732242
ENTRY,2025-10-10,RUN,0.15,1269.4545407464484,6347.272703732242,5076.818162985794,15.0,1.0,0.146,2025-10-13,10066.858555187246,,
ENTRY,2025-10-10,EDIT,-0.05,1015.3636325971587,5076.818162985794,4060.454530388635,15.0,1.0,-0.054000000000000006,2025-10-11,10065.858555187246,,
EXIT,2025-10-13,RUN,,1269.4545407464484,,,,1.0,0.146,2025-10-13,11519.653458882674,4060.454530388635,5514.249434084064
EXIT,2025-10-13,EDIT,,1015.3636325971587,,,,1.0,-0.054000000000000006,2025-10-11,12479.187455319587,5514.249434084064,6473.783430520976
ENTRY,2025-10-13,SPCE,-0.05,1294.756686104195,6473.783430520976,5178.026744416781,15.0,1.0,-0.054000000000000006,2025-10-14,10193.36928197598,,
ENTRY,2025-10-13,COIN,-0.05,1035.605348883356,5178.026744416781,4141.421395533425,15.0,1.0,-0.054000000000000006,2025-10-14,10192.36928197598,,
EXIT,2025-10-14,SPCE,,1294.756686104195,,,,1.0,-0.054000000000000006,2025-10-14,11416.209107030549,4141.421395533425,5365.261220587994
EXIT,2025-10-14,COIN,,1035.605348883356,,,,1.0,-0.054000000000000006,2025-10-14,12394.891767074203,5365.261220587994,6343.943880631648
ENTRY,2025-10-14,AMAT,0.0480315120320575,1268.7887761263296,6343.943880631648,5074.155104505318,15.0,1.0,0.044031512032057504,2025-11-03,10063.529732086652,,
ENTRY,2025-10-14,BMEA,-0.05,1014.8310209010637,5074.155104505318,4058.3240836042546,15.0,1.0,-0.054000000000000006,2025-10-17,10062.529732086652,,
EXIT,2025-10-15,FSLY,,907.1466281514938,,,,1.0,-0.054000000000000006,2025-10-15,10919.690442317966,4058.3240836042546,4915.484793835568
ENTRY,2025-10-15,PINS,-0.05,983.0969587671135,4915.484793835568,3931.3878350684545,15.0,1.0,-0.054000000000000006,2025-10-30,10011.54381416647,,
EXIT,2025-10-16,NTRA,,1434.0861620367052,,,,1.0,0.146,2025-10-16,11654.006555860535,3931.3878350684545,5573.850576762518
ENTRY,2025-10-16,PYPL,0.15,1114.7701153525036,5573.850576762518,4458.080461410014,15.0,1.0,0.146,2025-10-24,10218.920393823828,,
EXIT,2025-10-17,BMEA,,1014.8310209010637,,,,1.0,-0.054000000000000006,2025-10-17,11177.950539596235,4458.080461410014,5417.110607182421
ENTRY,2025-10-17,PLTR,0.15,1083.422121436484,5417.110607182421,4332.688485745936,15.0,1.0,0.146,2025-10-28,10162.119518695172,,
EXIT,2025-10-20,MDB,,1379.3530612668044,,,,1.0,0.0800259880210789,2025-10-20,11650.856671519752,4332.688485745936,5821.425638570517
ENTRY,2025-10-20,NIO,-0.05,1164.2851277141033,5821.425638570517,4656.140510856413,15.0,1.0,-0.054000000000000006,2025-10-22,10270.503610252948,,
EXIT,2025-10-22,NIO,,1164.2851277141033,,,,1.0,-0.054000000000000006,2025-10-22,11370.91734107049,4656.140510856413,5756.5542416739545
ENTRY,2025-10-22,BABA,-0.05,1151.3108483347908,5756.5542416739545,4604.243393339164,15.0,1.0,-0.054000000000000006,2025-11-06,10205.632213356384,,
EXIT,2025-10-24,PYPL,,1114.7701153525036,,,,1.0,0.146,2025-10-24,11482.158765550354,4604.243393339164,5880.769945533133
ENTRY,2025-10-24,QS,-0.05,1176.1539891066266,5880.769945533133,4703.615956426506,15.0,1.0,-0.054000000000000006,2025-10-26,10366.38865019785,,
EXIT,2025-10-27,QS,,1176.1539891066266,,,,1.0,-0.054000000000000006,2025-10-26,11478.030323892719,4703.615956426506,5815.257630121375
ENTRY,2025-10-27,ICLR,-0.05,1163.0515260242748,5815.257630121375,4651.2061040971,15.0,1.0,-0.054000000000000006,2025-10-29,10300.876334786093,,
EXIT,2025-10-28,PLTR,,1083.422121436484,,,,1.0,0.146,2025-10-28,11541.478085952303,4651.2061040971,5891.807855263311
ENTRY,2025-10-28,BBBY,-0.05,1178.361571052662,5891.807855263311,4712.446284210649,15.0,1.0,-0.054000000000000006,2025-10-30,10457.05596451582,,
EXIT,2025-10-29,ICLR,,1163.0515260242748,,,,1.0,-0.054000000000000006,2025-10-29,11556.302708134783,4712.446284210649,5811.693027829613
ENTRY,2025-10-29,NKE,-0.05,1162.3386055659225,5811.693027829613,4648.35442226369,15.0,1.0,-0.054000000000000006,2025-11-02,10392.251182110507,,
EXIT,2025-10-30,PINS,,983.0969587671135,,,,1.0,-0.054000000000000006,2025-10-30,11321.260905104198,4648.35442226369,5577.364145257379
EXIT,2025-10-30,BBBY,,1178.361571052662,,,,1.0,-0.054000000000000006,2025-10-30,12434.990951320015,5577.364145257379,6691.0941914731975
ENTRY,2025-10-30,DOCU,-0.05,1338.2188382946395,6691.0941914731975,5351.875353178558,15.0,1.0,-0.054000000000000006,2025-11-09,10272.53242150024,,
ENTRY,2025-10-30,DDOG,0.15,1070.3750706357114,5351.875353178558,4280.500282542846,15.0,1.0,0.146,2025-11-04,10271.53242150024,,
EXIT,2025-11-03,AMAT,,1268.7887761263296,,,,1.0,0.044031512032057504,2025-11-03,11595.187885888716,4280.500282542846,5604.155746931322
EXIT,2025-11-03,NKE,,1162.3386055659225,,,,1.0,-0.054000000000000006,2025-11-02,12693.76020675408,5604.155746931322,6702.728067796685
ENTRY,2025-11-03,TWLO,-0.05,1340.5456135593367,6702.728067796685,5361.182454237348,15.0,1.0,-0.054000000000000006,2025-11-05,10261.632825061826,,
ENTRY,2025-11-03,TME,-0.05,1072.2364908474697,5361.182454237348,4287.945963389879,15.0,1.0,-0.054000000000000006,2025-11-07,10260.632825061826,,
EXIT,2025-11-04,DDOG,,1070.3750706357114,,,,1.0,0.146,2025-11-04,11486.282656010351,4287.945963389879,5513.595794338404
ENTRY,2025-11-04,LULU,0.15,1102.7191588676806,5513.595794338404,4409.876635470723,15.0,1.0,0.146,2025-11-21,10414.90758537464,,
EXIT,2025-11-05,TWLO,,1340.5456135593367,,,,1.0,-0.054000000000000006,2025-11-05,11682.063735801774,4409.876635470723,5677.032785897855
ENTRY,2025-11-05,AMC,-0.05,1135.406557179571,5677.032785897855,4540.626228718284,15.0,1.0,-0.054000000000000006,2025-11-08,10340.518122242436,,
EXIT,2025-11-06,BABA,,1151.3108483347908,,,,1.0,-0.054000000000000006,2025-11-06,11428.658184767148,4540.626228718284,5628.766291242997
ENTRY,2025-11-06,TGT,-0.05,1125.7532582485994,5628.766291242997,4502.013032994398,15.0,1.0,-0.054000000000000006,2025-11-16,10276.347336432358,,
EXIT,2025-11-07,TME,,1072.2364908474697,,,,1.0,-0.054000000000000006,2025-11-07,11289.683056774065,4502.013032994398,5515.348753336104
ENTRY,2025-11-07,MDB,-0.05,1103.069750667221,5515.348753336104,4411.279002668884,15.0,1.0,-0.054000000000000006,2025-11-12,10216.446565926595,,
EXIT,2025-11-10,DOCU,,1338.2188382946395,,,,1.0,-0.054000000000000006,2025-11-09,11481.401586953325,4411.279002668884,5676.234023695612
EXIT,2025-11-10,AMC,,1135.406557179571,,,,1.0,-0.054000000000000006,2025-11-08,12554.496190045198,5676.234023695612,6749.328626787486
ENTRY,2025-11-10,TTD,-0.05,1349.8657253574972,6749.328626787486,5398.462901429989,15.0,1.0,-0.054000000000000006,2025-11-15,10079.870794570987,,
ENTRY,2025-11-10,BBBY,-0.05,1079.6925802859978,5398.462901429989,4317.770321143991,15.0,1.0,-0.054000000000000006,2025-11-12,10078.870794570987,,
EXIT,2025-11-12,MDB,,1103.069750667221,,,,1.0,-0.054000000000000006,2025-11-12,11121.374778702178,4317.770321143991,5360.274305275182
EXIT,2025-11-12,BBBY,,1079.6925802859978,,,,1.0,-0.054000000000000006,2025-11-12,12141.763959652732,5360.274305275182,6380.663486225736
ENTRY,2025-11-12,SNAP,-0.05,1276.1326972451473,6380.663486225736,5103.530788980589,15.0,1.0,-0.054000000000000006,2025-11-13,9958.001628699512,,
ENTRY,2025-11-12,NIO,-0.05,1020.7061577961179,5103.530788980589,4081.8246311844714,15.0,1.0,-0.054000000000000006,2025-11-14,9957.001628699512,,
EXIT,2025-11-13,SNAP,,1276.1326972451473,,,,1.0,-0.054000000000000006,2025-11-13,11163.223160293423,4081.8246311844714,5288.046162778381
ENTRY,2025-11-13,MDB,-0.05,1057.609232555676,5288.046162778381,4229.436930222704,15.0,1.0,-0.054000000000000006,2025-11-16,9886.090463048276,,
EXIT,2025-11-14,NIO,,1020.7061577961179,,,,1.0,-0.054000000000000006,2025-11-14,10850.678488323403,4229.436930222704,5194.024955497832
ENTRY,2025-11-14,TSLA,-0.05,1038.8049910995665,5194.024955497832,4154.219964398266,15.0,1.0,-0.054000000000000006,2025-11-19,9828.972330527286,,
EXIT,2025-11-17,TGT,,1125.7532582485994,,,,1.0,-0.054000000000000006,2025-11-16,10892.93491283046,4154.219964398266,5218.1825467014405
EXIT,2025-11-17,TTD,,1349.8657253574972,,,,1.0,-0.054000000000000006,2025-11-15,12168.907889018654,5218.1825467014405,6494.155522889633
EXIT,2025-11-17,MDB,,1057.609232555676,,,,1.0,-0.054000000000000006,2025-11-16,13168.406223016322,6494.155522889633,7493.653856887303
ENTRY,2025-11-17,BBBY,-0.05,1498.7307713774605,7493.653856887303,5993.923085509842,15.0,1.0,-0.054000000000000006,2025-11-22,9634.178006854549,,
ENTRY,2025-11-17,TTD,-0.05,1198.7846171019685,5993.923085509842,4794.138468407874,15.0,1.0,-0.054000000000000006,2025-12-04,9633.178006854549,,
ENTRY,2025-11-17,NOK,-0.05,958.8276936815748,4794.138468407874,3834.3107747262993,15.0,1.0,-0.054000000000000006,2025-11-19,9632.17800685455,,
EXIT,2025-11-19,TSLA,,1038.8049910995665,,,,1.0,-0.054000000000000006,2025-11-19,10613.887528434741,3834.3107747262993,4816.020296306489
EXIT,2025-11-19,NOK,,958.8276936815748,,,,1.0,-0.054000000000000006,2025-11-19,11519.93852665751,4816.020296306489,5722.071294529259
ENTRY,2025-11-19,CRWD,-0.05,1144.4142589058517,5722.071294529259,4576.657035623407,15.0,1.0,-0.054000000000000006,2025-11-21,9521.305841876369,,
ENTRY,2025-11-19,CROX,0.15,915.3314071246814,4576.657035623407,3660.3256284987256,15.0,1.0,0.146,2025-12-05,9520.305841876369,,
EXIT,2025-11-21,LULU,,1102.7191588676806,,,,1.0,0.146,2025-11-21,10783.02199793873,3660.3256284987256,4923.041784561087
EXIT,2025-11-21,CRWD,,1144.4142589058517,,,,1.0,-0.054000000000000006,2025-11-21,11864.637886863666,4923.041784561087,6004.657673486023
ENTRY,2025-11-21,AFRM,0.15,1200.9315346972046,6004.657673486023,4802.726138788818,15.0,1.0,0.146,2025-12-08,9616.504469090134,,
ENTRY,2025-11-21,LULU,0.15,960.5452277577638,4802.726138788818,3841.1809110310546,15.0,1.0,0.146,2025-12-05,9615.504469090134,,
EXIT,2025-11-24,BBBY,,1498.7307713774605,,,,1.0,-0.054000000000000006,2025-11-22,11032.303778813211,3841.1809110310546,5257.9802207541325
ENTRY,2025-11-24,TEAM,0.1088426273374365,1051.5960441508264,5257.9802207541325,4205.384176603306,15.0,1.0,0.1048426273374365,2025-12-14,9532.57300743575,,
EXIT,2025-12-04,TTD,,1198.7846171019685,,,,1.0,-0.054000000000000006,2025-12-04,10665.623255214214,4205.384176603306,5338.434424381768
ENTRY,2025-12-04,FSLY,-0.05,1067.6868848763536,5338.434424381768,4269.747539505414,15.0,1.0,-0.054000000000000006,2025-12-05,9465.838638112244,,
EXIT,2025-12-05,CROX,,915.3314071246814,,,,1.0,0.146,2025-12-05,10513.808430677129,4269.747539505414,5317.717332070299
EXIT,2025-12-05,LULU,,960.5452277577638,,,,1.0,0.146,2025-12-05,11613.593261687525,5317.717332070299,6417.502163080696
EXIT,2025-12-05,FSLY,,1067.6868848763536,,,,1.0,-0.054000000000000006,2025-12-05,12622.625054780558,6417.502163080696,7426.533956173726
ENTRY,2025-12-05,Z,-0.05,1485.306791234745,7426.533956173726,5940.227164938981,15.0,1.0,-0.054000000000000006,2025-12-11,9678.061535021758,,
ENTRY,2025-12-05,SPWR,-0.05,1188.0454329877962,5940.227164938981,4751.181731951185,15.0,1.0,-0.054000000000000006,2025-12-22,9677.061535021756,,
ENTRY,2025-12-05,DOCU,-0.0073092087851777,950.2363463902369,4751.181731951185,3799.9453855609477,15.0,1.0,-0.0113092087851777,2025-12-25,9676.061535021758,,
EXIT,2025-12-08,AFRM,,1200.9315346972046,,,,1.0,0.146,2025-12-08,11051.329073784753,3799.9453855609477,5175.212924323944
ENTRY,2025-12-08,AFRM,0.15,1035.0425848647888,5175.212924323944,4139.170339459155,15.0,1.0,0.146,2025-12-17,9849.39753908755,,
EXIT,2025-12-11,Z,,1485.306791234745,,,,1.0,-0.054000000000000006,2025-12-11,11253.497763595617,4139.170339459155,5543.270563967224
ENTRY,2025-12-11,COIN,-0.05,1108.6541127934447,5543.270563967224,4433.616451173779,15.0,1.0,-0.054000000000000006,2025-12-13,9767.190972360871,,
EXIT,2025-12-15,TEAM,,1051.5960441508264,,,,1.0,0.1048426273374365,2025-12-14,10928.039108678126,4433.616451173779,5594.464587491033
EXIT,2025-12-15,COIN,,1108.6541127934447,,,,1.0,-0.054000000000000006,2025-12-13,11975.825899380725,5594.464587491033,6642.251378193631
ENTRY,2025-12-15,SPCE,0.15,1328.4502756387262,6642.251378193631,5312.801102554905,15.0,1.0,0.146,2025-12-19,9814.575742436453,,
ENTRY,2025-12-15,UBER,0.0340825909446003,1062.560220510981,5312.801102554905,4249.240882043924,15.0,1.0,0.030082590944600297,2026-01-04,9813.575742436453,,
EXIT,2025-12-17,AFRM,,1035.0425848647888,,,,1.0,0.146,2025-12-17,10998.7345446915,4249.240882043924,5434.399684298972
ENTRY,2025-12-17,GME,-0.05,1086.8799368597943,5434.399684298972,4346.519747439177,15.0,1.0,-0.054000000000000006,2025-12-20,9962.691959826712,,
EXIT,2025-12-19,SPCE,,1328.4502756387262,,,,1.0,0.146,2025-12-19,11484.095975708691,4346.519747439177,5867.923763321157
ENTRY,2025-12-19,INCY,0.0192812901009409,1173.5847526642312,5867.923763321157,4693.339010656926,15.0,1.0,0.015281290100940901,2026-01-08,10154.645700069967,,
EXIT,2025-12-22,SPWR,,1188.0454329877962,,,,1.0,-0.054000000000000006,2025-12-22,11277.536679676421,4693.339010656926,5816.229990263381
EXIT,2025-12-22,GME,,1086.8799368597943,,,,1.0,-0.054000000000000006,2025-12-20,12304.725099945786,5816.229990263381,6843.418410532747
ENTRY,2025-12-22,CRWD,-0.05,1368.6836821065494,6843.418410532747,5473.734728426198,15.0,1.0,-0.054000000000000006,2025-12-29,10028.799730098195,,
ENTRY,2025-12-22,BEAM,-0.05,1094.7469456852396,5473.734728426198,4377.987782740958,15.0,1.0,-0.054000000000000006,2025-12-29,10027.799730098195,,
EXIT,2025-12-26,DOCU,,950.2363463902369,,,,1.0,-0.0113092087851777,2025-12-25,10966.289655251841,4377.987782740958,5316.477707894604
ENTRY,2025-12-26,FCEL,-0.05,1063.2955415789206,5316.477707894604,4252.1821663156825,15.0,1.0,-0.054000000000000006,2025-12-28,10015.053308861605,,
EXIT,2025-12-29,CRWD,,1368.6836821065494,,,,1.0,-0.054000000000000006,2025-12-29,11308.828072134402,4252.1821663156825,5545.9569295884785
EXIT,2025-12-29,BEAM,,1094.7469456852396,,,,1.0,-0.054000000000000006,2025-12-29,12343.458682752636,5545.9569295884785,6580.587540206715
EXIT,2025-12-29,FCEL,,1063.2955415789206,,,,1.0,-0.054000000000000006,2025-12-28,13348.336265086296,6580.587540206715,7585.465122540374
ENTRY,2025-12-29,JKS,0.15,1517.0930245080747,7585.465122540374,6067.3720980323,15.0,1.0,0.146,2026-01-09,9820.610095715587,,
ENTRY,2025-12-29,HOOD,-0.05,1213.4744196064598,6067.3720980323,4852.897678425839,15.0,1.0,-0.054000000000000006,2026-01-01,9819.610095715587,,
ENTRY,2025-12-29,EDIT,-0.05,970.5795356851679,4852.897678425839,3881.3181427406716,15.0,1.0,-0.054000000000000006,2026-01-01,9818.610095715587,,
EXIT,2026-01-02,HOOD,,1213.4744196064598,,,,1.0,-0.054000000000000006,2026-01-01,10965.556896663296,3881.3181427406716,5028.264943688382
EXIT,2026-01-02,EDIT,,970.5795356851679,,,,1.0,-0.054000000000000006,2026-01-01,11882.725137421465,5028.264943688382,5945.4331844465505
ENTRY,2026-01-02,TSLA,-0.05,1189.08663688931,5945.4331844465505,4755.34654755724,15.0,1.0,-0.054000000000000006,2026-01-20,9697.671182129838,,
ENTRY,2026-01-02,ARVN,0.15,951.069309511448,4755.34654755724,3803.2772380457923,15.0,1.0,0.146,2026-01-17,9696.671182129838,,
EXIT,2026-01-05,UBER,,1062.560220510981,,,,1.0,0.030082590944600297,2026-01-04,10790.195967108455,3803.2772380457923,4896.802023024409
ENTRY,2026-01-05,RUN,-0.05,979.3604046048819,4896.802023024409,3916.4416184195275,15.0,1.0,-0.054000000000000006,2026-01-07,9726.635746597472,,
EXIT,2026-01-07,RUN,,979.3604046048819,,,,1.0,-0.054000000000000006,2026-01-07,10652.11068935369,3916.4416184195275,4841.916561175745
ENTRY,2026-01-07,CSIQ,-0.05,968.3833122351491,4841.916561175745,3872.5332489405964,15.0,1.0,-0.054000000000000006,2026-01-08,9671.75028474881,,
EXIT,2026-01-08,INCY,,1173.5847526642312,,,,1.0,0.015281290100940901,2026-01-08,10862.268926476543,3872.5332489405964,5063.051890668331
EXIT,2026-01-08,CSIQ,,968.3833122351491,,,,1.0,-0.054000000000000006,2026-01-08,11777.359539850995,5063.051890668331,5978.142504042782
ENTRY,2026-01-08,CROX,-0.05,1195.6285008085563,5978.142504042782,4781.514003234226,15.0,1.0,-0.054000000000000006,2026-01-14,9634.391474951615,,
ENTRY,2026-01-08,TTD,-0.05,956.3028006468452,4781.514003234226,3824.2112025873807,15.0,1.0,-0.054000000000000006,2026-01-14,9633.391474951615,,
EXIT,2026-01-09,JKS,,1517.0930245080747,,,,1.0,0.146,2026-01-09,11370.98008103787,3824.2112025873807,5561.799808673634
ENTRY,2026-01-09,DDOG,-0.05,1112.3599617347268,5561.799808673634,4448.439846938907,15.0,1.0,-0.054000000000000006,2026-01-14,9852.887056529793,,
EXIT,2026-01-14,CROX,,1195.6285008085563,,,,1.0,-0.054000000000000006,2026-01-14,10982.951618294686,4448.439846938907,5578.504408703801
EXIT,2026-01-14,TTD,,956.3028006468452,,,,1.0,-0.054000000000000006,2026-01-14,11886.614067706603,5578.504408703801,6482.166858115717
EXIT,2026-01-14,DDOG,,1112.3599617347268,,,,1.0,-0.054000000000000006,2026-01-14,12937.906591507654,6482.166858115717,7533.4593819167685
ENTRY,2026-01-14,NIO,0.0855262875832125,1506.6918763833537,7533.4593819167685,6025.767505533415,15.0,1.0,0.0815262875832125,2026-02-03,9672.615328317526,,
ENTRY,2026-01-14,BB,-0.05,1205.1535011066828,6025.767505533415,4819.614004426732,15.0,1.0,-0.054000000000000006,2026-01-24,9671.615328317526,,
ENTRY,2026-01-14,INTU,-0.05,963.9228008853464,4819.614004426732,3854.6912035413857,15.0,1.0,-0.054000000000000006,2026-01-16,9670.615328317526,,
EXIT,2026-01-16,INTU,,963.9228008853464,,,,1.0,-0.054000000000000006,2026-01-16,10581.486297955063,3854.6912035413857,4765.562173178923
ENTRY,2026-01-16,CRSP,-0.05,953.1124346357846,4765.562173178923,3811.4497385431387,15.0,1.0,-0.054000000000000006,2026-01-25,9616.563497069717,,
EXIT,2026-01-20,TSLA,,1189.08663688931,,,,1.0,-0.054000000000000006,2026-01-20,10740.439455567004,3811.4497385431387,4935.325697040425
EXIT,2026-01-20,ARVN,,951.069309511448,,,,1.0,0.146,2026-01-17,11829.364884267125,4935.325697040425,6024.251125740545
ENTRY,2026-01-20,RIVN,-0.05,1204.850225148109,6024.251125740545,4818.400900592436,15.0,1.0,-0.054000000000000006,2026-01-25,9688.208937866366,,
ENTRY,2026-01-20,ICLR,-0.05,963.6801801184873,4818.400900592436,3853.720720473949,15.0,1.0,-0.054000000000000006,2026-01-30,9687.208937866366,,
EXIT,2026-01-26,BB,,1205.1535011066828,,,,1.0,-0.054000000000000006,2026-01-24,10826.284149913288,3853.720720473949,4992.79593252087
EXIT,2026-01-26,CRSP,,953.1124346357846,,,,1.0,-0.054000000000000006,2026-01-25,11726.92851307874,4992.79593252087,5893.440295686322
EXIT,2026-01-26,RIVN,,1204.850225148109,,,,1.0,-0.054000000000000006,2026-01-25,12865.716826068852,5893.440295686322,7032.228608676433
ENTRY,2026-01-26,BLNK,-0.05,1406.4457217352867,7032.228608676433,5624.782886941147,15.0,1.0,-0.054000000000000006,2026-01-28,9501.600665178274,,
ENTRY,2026-01-26,BB,-0.05,1124.9565773882293,5624.782886941147,4498.826309552917,15.0,1.0,-0.054000000000000006,2026-01-29,9500.600665178274,,
